Step 50, Content Loss: 50066.726562, Style Loss: 31621.839844
Step 100, Content Loss: 47865.367188, Style Loss: 19252.890625
Step 150, Content Loss: 46883.113281, Style Loss: 16426.835938
Step 200, Content Loss: 46264.640625, Style Loss: 15388.623047
Step 250, Content Loss: 45938.609375, Style Loss: 14768.218750
Step 300, Content Loss: 45720.851562, Style Loss: 14387.077148
Step 350, Content Loss: 45587.902344, Style Loss: 14114.907227
Step 400, Content Loss: 45465.144531, Style Loss: 13937.452148
Step 450, Content Loss: 45375.273438, Style Loss: 13807.308594
Step 500, Content Loss: 45302.828125, Style Loss: 13715.460938
Step 550, Content Loss: 45245.992188, Style Loss: 13634.070312
Step 600, Content Loss: 45200.265625, Style Loss: 13566.777344
Step 650, Content Loss: 45158.968750, Style Loss: 13512.502930
Step 700, Content Loss: 45126.875000, Style Loss: 13466.224609
Step 750, Content Loss: 45097.289062, Style Loss: 13427.240234
Step 800, Content Loss: 45070.632812, Style Loss: 13394.167969
Step 850, Content Loss: 45045.570312, Style Loss: 13368.269531
Step 900, Content Loss: 45027.074219, Style Loss: 13341.378906
Step 950, Content Loss: 45008.335938, Style Loss: 13320.913086
Step 1000, Content Loss: 44996.843750, Style Loss: 13297.433594
