2025-07-04 19:11:57,042 INFO    MainThread:7748 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-07-04 19:11:57,043 INFO    MainThread:7748 [wandb_setup.py:_flush():79] Configure stats pid to 7748
2025-07-04 19:11:57,043 INFO    MainThread:7748 [wandb_setup.py:_flush():79] Loading settings from C:\Users\LENOVO\.config\wandb\settings
2025-07-04 19:11:57,043 INFO    MainThread:7748 [wandb_setup.py:_flush():79] Loading settings from D:\Pythonpro\imge-transfer\wandb\settings
2025-07-04 19:11:57,043 INFO    MainThread:7748 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-07-04 19:11:57,043 INFO    MainThread:7748 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': 'offline', '_disable_service': None}
2025-07-04 19:11:57,044 INFO    MainThread:7748 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'run_single.py', 'program_abspath': 'D:\\Pythonpro\\imge-transfer\\run_single.py', 'program': 'D:\\Pythonpro\\imge-transfer\\run_single.py'}
2025-07-04 19:11:57,044 INFO    MainThread:7748 [wandb_init.py:_log_setup():533] Logging user logs to D:\Pythonpro\imge-transfer\wandb\offline-run-20250704_191157-u4n3amtr\logs\debug.log
2025-07-04 19:11:57,044 INFO    MainThread:7748 [wandb_init.py:_log_setup():534] Logging internal logs to D:\Pythonpro\imge-transfer\wandb\offline-run-20250704_191157-u4n3amtr\logs\debug-internal.log
2025-07-04 19:11:57,044 INFO    MainThread:7748 [wandb_init.py:init():619] calling init triggers
2025-07-04 19:11:57,045 INFO    MainThread:7748 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2025-07-04 19:11:57,045 INFO    MainThread:7748 [wandb_init.py:init():669] starting backend
2025-07-04 19:11:57,045 INFO    MainThread:7748 [wandb_init.py:init():673] sending inform_init request
2025-07-04 19:11:57,052 INFO    MainThread:7748 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-07-04 19:11:57,053 INFO    MainThread:7748 [wandb_init.py:init():686] backend started and connected
2025-07-04 19:11:57,062 INFO    MainThread:7748 [wandb_init.py:init():781] updated telemetry
2025-07-04 19:11:57,067 INFO    MainThread:7748 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-07-04 19:11:57,809 INFO    MainThread:7748 [wandb_init.py:init():867] starting run threads in backend
2025-07-04 19:11:58,276 INFO    MainThread:7748 [wandb_run.py:_console_start():2456] atexit reg
2025-07-04 19:11:58,276 INFO    MainThread:7748 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-07-04 19:11:58,276 INFO    MainThread:7748 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-07-04 19:11:58,276 INFO    MainThread:7748 [wandb_run.py:_redirect():2395] Redirects installed.
2025-07-04 19:11:58,283 INFO    MainThread:7748 [wandb_init.py:init():911] run started, returning control to user process
2025-07-04 19:14:04,152 WARNING MsgRouterThr:7748 [router.py:message_loop():75] message_loop has been closed
